latitude,longitude,frp,brightness_k,confidence,nearest_facility,distance_km,classification,severity
30.98889,74.20782,14.78,339.84,n,None,507.01,Agricultural / Stubble Burning,MODERATE
31.1145,74.67035,6.49,339.39,n,None,489.21,Agricultural / Stubble Burning,MODERATE
31.11475,74.66734,4.29,339.31,n,None,489.4,Agricultural / Stubble Burning,MODERATE
31.32291,74.4838,7.71,342.04,n,None,518.39,Agricultural / Stubble Burning,MODERATE
31.39054,75.07154,4.44,331.47,n,None,492.74,Agricultural / Stubble Burning,MODERATE
31.61656,76.17597,4.46,335.25,n,None,470.78,Agricultural / Stubble Burning,MODERATE
31.61751,76.18054,5.4,331.97,n,None,470.74,Agricultural / Stubble Burning,MODERATE
34.15691,74.18864,5.54,340.37,n,None,802.74,Agricultural / Stubble Burning,MODERATE
36.96885,81.35052,6.01,345.07,n,None,1097.0,Agricultural / Stubble Burning,MODERATE
21.10432,72.6347,9.4,328.58,n,None,306.39,Agricultural / Stubble Burning,MODERATE
21.1052,72.64534,9.33,331.35,n,None,307.3,Agricultural / Stubble Burning,MODERATE
22.93165,69.69714,4.55,335.59,n,None,63.21,Agricultural / Stubble Burning,MODERATE
23.40523,71.8103,7.8,332.64,n,None,207.38,Agricultural / Stubble Burning,MODERATE
24.35433,69.38046,1.42,331.47,n,None,220.55,Agricultural / Stubble Burning,MODERATE
25.87052,68.93066,4.91,343.6,n,None,394.95,Agricultural / Stubble Burning,MODERATE
25.87083,68.93423,4.91,346.81,n,None,394.87,Agricultural / Stubble Burning,MODERATE
25.92188,69.27729,3.36,331.42,l,None,391.83,Agricultural / Stubble Burning,MODERATE
27.50557,69.06078,8.64,353.18,n,None,568.79,Agricultural / Stubble Burning,MODERATE
27.63493,68.38425,10.44,352.41,n,None,598.44,Agricultural / Stubble Burning,MODERATE
27.63523,68.38776,9.84,367.0,h,None,598.37,Agricultural / Stubble Burning,MODERATE
28.05424,69.36775,7.06,336.04,l,None,624.72,Agricultural / Stubble Burning,MODERATE
25.54349,91.23439,0.92,297.52,n,None,595.8,Agricultural / Stubble Burning,MODERATE
29.12307,75.77782,1.31,304.05,n,None,253.5,Agricultural / Stubble Burning,MODERATE
19.02263,72.88951,1.35,304.46,n,None,483.4,Agricultural / Stubble Burning,MODERATE
20.95472,85.0117,1.51,305.7,n,None,99.2,Agricultural / Stubble Burning,MODERATE
20.99696,86.01632,0.89,307.58,n,None,8.76,Agricultural / Stubble Burning,MODERATE
20.99756,86.01261,1.12,307.32,n,None,8.59,Agricultural / Stubble Burning,MODERATE
21.07221,85.04323,1.01,305.32,n,None,97.1,Agricultural / Stubble Burning,MODERATE
21.07493,85.04748,0.74,302.27,n,None,96.71,Agricultural / Stubble Burning,MODERATE
21.0755,85.04382,1.32,305.95,n,None,97.1,Agricultural / Stubble Burning,MODERATE
21.07664,85.03648,1.57,309.74,n,None,97.87,Agricultural / Stubble Burning,MODERATE
21.07936,85.04073,1.32,306.61,n,None,97.48,Agricultural / Stubble Burning,MODERATE
21.0805,85.0334,1.57,310.31,n,None,98.25,Agricultural / Stubble Burning,MODERATE
21.10294,72.64367,5.81,335.0,n,None,307.27,Agricultural / Stubble Burning,MODERATE
21.10339,72.63818,3.16,302.27,n,None,306.76,Agricultural / Stubble Burning,MODERATE
21.10385,72.63268,3.16,302.78,n,None,306.24,Agricultural / Stubble Burning,MODERATE
21.10931,72.64422,5.81,302.54,n,None,306.97,Agricultural / Stubble Burning,MODERATE
21.16521,72.6657,8.02,336.35,n,None,305.86,Agricultural / Stubble Burning,MODERATE
21.16739,72.67079,5.82,304.39,n,None,306.2,Agricultural / Stubble Burning,MODERATE
21.16783,72.66529,8.96,338.24,n,None,305.68,Agricultural / Stubble Burning,MODERATE
21.76534,85.58006,0.96,305.93,n,None,100.81,Agricultural / Stubble Burning,MODERATE
21.87683,83.55544,1.66,308.71,n,None,237.62,Agricultural / Stubble Burning,MODERATE
21.87796,83.54762,0.88,304.22,n,None,236.89,Agricultural / Stubble Burning,MODERATE
22.20574,84.86871,2.16,320.35,n,None,150.76,Agricultural / Stubble Burning,MODERATE
22.20687,84.86127,0.97,306.37,n,None,151.39,Agricultural / Stubble Burning,MODERATE
22.21017,84.86185,0.97,307.55,n,None,151.18,Agricultural / Stubble Burning,MODERATE
22.21299,84.84327,0.98,314.26,n,None,152.76,Agricultural / Stubble Burning,MODERATE
22.24044,87.3886,1.16,314.37,n,None,138.59,Agricultural / Stubble Burning,MODERATE
22.35592,87.28951,1.54,302.91,n,None,123.85,Agricultural / Stubble Burning,MODERATE
22.36406,87.30318,2.24,311.16,n,None,124.78,Agricultural / Stubble Burning,MODERATE
22.36472,87.29928,2.24,324.69,n,None,124.38,Agricultural / Stubble Burning,MODERATE
22.36809,87.29993,1.36,304.77,n,None,124.29,Agricultural / Stubble Burning,MODERATE
22.37475,87.28107,0.83,301.4,n,None,122.22,Agricultural / Stubble Burning,MODERATE
22.3754,87.27717,0.83,308.31,n,None,121.82,Agricultural / Stubble Burning,MODERATE
22.37811,87.28172,2.33,317.49,n,None,122.13,Agricultural / Stubble Burning,MODERATE
22.37877,87.27782,2.33,322.13,n,None,121.74,Agricultural / Stubble Burning,MODERATE
22.57284,85.89931,1.62,305.63,n,None,39.06,Agricultural / Stubble Burning,MODERATE
22.57343,85.8956,1.62,320.43,n,None,39.3,Agricultural / Stubble Burning,MODERATE
22.57401,85.8919,1.34,309.25,n,None,39.55,Agricultural / Stubble Burning,MODERATE
22.60839,85.91376,2.18,315.08,n,None,35.39,Agricultural / Stubble Burning,MODERATE
23.48114,87.36388,0.71,300.63,n,None,142.05,Agricultural / Stubble Burning,MODERATE
23.48179,87.35999,1.54,307.59,n,None,141.75,Agricultural / Stubble Burning,MODERATE
23.48449,87.36453,1.42,300.17,n,None,142.3,Agricultural / Stubble Burning,MODERATE
23.54914,87.24515,0.92,301.77,n,None,136.34,Agricultural / Stubble Burning,MODERATE
23.55709,87.23873,0.97,307.57,n,None,136.36,Agricultural / Stubble Burning,MODERATE
23.5598,87.24324,0.94,304.7,n,None,136.91,Agricultural / Stubble Burning,MODERATE
23.56043,87.23938,1.58,315.45,n,None,136.64,Agricultural / Stubble Burning,MODERATE
23.56173,87.08474,1.68,310.35,n,None,124.65,Agricultural / Stubble Burning,MODERATE
23.66225,87.15884,0.85,302.59,n,None,137.79,Agricultural / Stubble Burning,MODERATE
23.66289,87.155,2.3,314.51,n,None,137.56,Agricultural / Stubble Burning,MODERATE
23.66392,86.91837,0.94,301.29,n,None,121.4,Agricultural / Stubble Burning,MODERATE
23.66558,87.15948,0.85,305.32,n,None,138.1,Agricultural / Stubble Burning,MODERATE
23.67711,86.39232,0.97,298.21,n,None,99.3,Agricultural / Stubble Burning,MODERATE
23.68916,87.12046,0.85,303.64,n,None,137.12,Agricultural / Stubble Burning,MODERATE
23.69186,87.12494,1.16,302.73,n,None,137.65,Agricultural / Stubble Burning,MODERATE
23.69248,87.1211,0.85,305.1,n,None,137.42,Agricultural / Stubble Burning,MODERATE
23.69311,87.11726,0.85,303.4,n,None,137.2,Agricultural / Stubble Burning,MODERATE
23.69636,85.28938,0.96,299.63,n,None,134.95,Agricultural / Stubble Burning,MODERATE
23.70923,85.42641,0.56,301.3,n,None,127.01,Agricultural / Stubble Burning,MODERATE
